YEAR,DATE,HOUR,MINUTE,location-long,location-lat,SPECIES,TAG,individual-local-identifier
2018,5-Jul,20,0,0.278166,36.889427,Stigmochelys pardalis,4170,Io
2018,5-Jul,23,0,0.278185,36.889423,Stigmochelys pardalis,4170,Io
2018,6-Jul,0,0,0.278164,36.889404,Stigmochelys pardalis,4170,Io
2018,6-Jul,4,0,0.278143,36.889389,Stigmochelys pardalis,4170,Io
2018,6-Jul,8,0,0.278195,36.889366,Stigmochelys pardalis,4170,Io
2018,6-Jul,12,0,0.278145,36.889442,Stigmochelys pardalis,4170,Io
2018,6-Jul,16,0,0.275908,36.891143,Stigmochelys pardalis,4170,Io
2018,6-Jul,20,0,0.276418,36.891525,Stigmochelys pardalis,4170,Io
2018,6-Jul,23,0,0.276445,36.891506,Stigmochelys pardalis,4170,Io
2018,7-Jul,0,0,0.27644,36.891532,Stigmochelys pardalis,4170,Io
2018,7-Jul,4,0,0.276413,36.891525,Stigmochelys pardalis,4170,Io
2018,7-Jul,8,0,0.276503,36.891487,Stigmochelys pardalis,4170,Io
2018,7-Jul,12,0,0.277148,36.889884,Stigmochelys pardalis,4170,Io
2018,7-Jul,16,0,0.276986,36.890228,Stigmochelys pardalis,4170,Io
2018,7-Jul,20,0,0.277191,36.889873,Stigmochelys pardalis,4170,Io
2018,7-Jul,23,0,0.277263,36.889816,Stigmochelys pardalis,4170,Io
2018,8-Jul,0,0,0.277226,36.889823,Stigmochelys pardalis,4170,Io
2018,8-Jul,4,0,0.277243,36.889816,Stigmochelys pardalis,4170,Io
2018,8-Jul,8,0,0.277235,36.889778,Stigmochelys pardalis,4170,Io
2018,8-Jul,12,0,0.276963,36.890132,Stigmochelys pardalis,4170,Io
2018,8-Jul,16,0,0.27839,36.889999,Stigmochelys pardalis,4170,Io
2018,8-Jul,20,0,0.278355,36.88998,Stigmochelys pardalis,4170,Io
2018,8-Jul,23,0,0.278401,36.890014,Stigmochelys pardalis,4170,Io
2018,9-Jul,0,0,0.27839,36.889999,Stigmochelys pardalis,4170,Io
2018,9-Jul,4,0,0.278341,36.88998,Stigmochelys pardalis,4170,Io
2018,9-Jul,8,0,0.278365,36.889961,Stigmochelys pardalis,4170,Io
2018,9-Jul,12,0,0.278373,36.889213,Stigmochelys pardalis,4170,Io
2018,9-Jul,16,0,0.280131,36.889911,Stigmochelys pardalis,4170,Io
2018,9-Jul,20,0,0.280051,36.88998,Stigmochelys pardalis,4170,Io
2018,9-Jul,23,0,0.28012,36.8899,Stigmochelys pardalis,4170,Io
2018,10-Jul,0,0,0.280109,36.889919,Stigmochelys pardalis,4170,Io
2018,10-Jul,4,0,0.280093,36.889961,Stigmochelys pardalis,4170,Io
2018,10-Jul,8,0,0.280125,36.889904,Stigmochelys pardalis,4170,Io
2018,10-Jul,12,0,0.280145,36.889827,Stigmochelys pardalis,4170,Io
2018,10-Jul,16,0,0.280281,36.889732,Stigmochelys pardalis,4170,Io
2018,10-Jul,20,0,0.280216,36.889728,Stigmochelys pardalis,4170,Io
2018,10-Jul,23,0,0.280249,36.889728,Stigmochelys pardalis,4170,Io
2018,11-Jul,0,0,0.280246,36.88974,Stigmochelys pardalis,4170,Io
2018,11-Jul,4,0,0.280249,36.889789,Stigmochelys pardalis,4170,Io
2018,11-Jul,8,0,0.280198,36.889713,Stigmochelys pardalis,4170,Io
2018,11-Jul,12,0,0.28023,36.889747,Stigmochelys pardalis,4170,Io
2018,11-Jul,16,0,0.279966,36.889465,Stigmochelys pardalis,4170,Io
2018,11-Jul,20,0,0.279906,36.889598,Stigmochelys pardalis,4170,Io
2018,11-Jul,23,0,0.279936,36.889511,Stigmochelys pardalis,4170,Io
2018,12-Jul,0,0,0.279925,36.88953,Stigmochelys pardalis,4170,Io
2018,12-Jul,4,0,0.279935,36.88953,Stigmochelys pardalis,4170,Io
2018,12-Jul,8,0,0.279891,36.88948,Stigmochelys pardalis,4170,Io
2018,12-Jul,12,0,0.27989,36.889499,Stigmochelys pardalis,4170,Io
2018,12-Jul,16,0,0.279418,36.88935,Stigmochelys pardalis,4170,Io
2018,12-Jul,20,0,0.279945,36.889598,Stigmochelys pardalis,4170,Io
2018,12-Jul,23,0,0.27993,36.889472,Stigmochelys pardalis,4170,Io
2018,13-Jul,0,0,0.279935,36.889453,Stigmochelys pardalis,4170,Io
2018,13-Jul,4,0,0.27991,36.88948,Stigmochelys pardalis,4170,Io
2018,13-Jul,8,0,0.27991,36.889492,Stigmochelys pardalis,4170,Io
2018,13-Jul,12,0,0.276986,36.889873,Stigmochelys pardalis,4170,Io
2018,13-Jul,16,0,0.275841,36.891159,Stigmochelys pardalis,4170,Io
2018,13-Jul,20,0,0.275741,36.891101,Stigmochelys pardalis,4170,Io
2018,13-Jul,23,0,0.275736,36.891067,Stigmochelys pardalis,4170,Io
2018,14-Jul,0,0,0.275763,36.891082,Stigmochelys pardalis,4170,Io
2018,14-Jul,4,0,0.275735,36.891075,Stigmochelys pardalis,4170,Io
